ruleset_id,created_at,audience_type,content_title,content_id,content_type,series_id,series_title,state,last_sent_at,last_state_change_by,last_state_change_at,last_edited_by,last_edited_at,url,receipt_total,receipt_unique,reply_total,reply_unique,reply_rate,completion_total,completion_unique,completion_rate,goal_success_total,goal_success_unique,goal_success_rate,tour_step_failure_total,tour_step_failure_unique,tour_step_failure_rate,tour_step_view_total,tour_step_view_unique,reaction_total,reaction_unique,reaction_rate,open_total,open_unique,open_rate,click_total,click_unique,click_rate,dismissal_total,dismissal_unique,dismissal_rate,collected_email_total,collected_email_unique,collected_email_rate,unsubscribe_total,unsubscribe_unique,unsubscribe_rate,hard_bounce_total,hard_bounce_unique,hard_bounce_rate,spam_complaint_total,spam_complaint_unique,spam_complaint_rate,permission_grant_total,permission_grant_unique,permission_grant_rate,button_tap_total,button_tap_unique,button_tap_rate,screen_view_total,screen_view_unique,screen_view_rate,webhook_failure_total,webhook_failure_unique,webhook_failure_rate,sms_failure_total,sms_failure_unique,sms_failure_rate,whatsapp_failure_total,whatsapp_failure_unique,whatsapp_failure_rate,push_failure_total,push_failure_unique,push_failure_rate,answer_total,answer_unique,answer_rate,keyword_reply_total,keyword_reply_unique,people_reached_receipt_total,people_reached_receipt_unique,people_reached_receipt_rate,checklist_step_receipt_total,checklist_step_receipt_unique,checklist_step_receipt_rate,checklist_step_open_total,checklist_step_open_unique,checklist_step_open_rate,checklist_step_click_total,checklist_step_click_unique,checklist_step_click_rate,checklist_step_completion_total,checklist_step_completion_unique,checklist_step_completion_rate,fin_helpful_answer_total,fin_helpful_answer_unique,fin_helpful_answer_rate,email_failure_total,email_failure_unique,email_failure_rate
30036051,2023-02-15T10:53:14.000Z,dynamic,Untitled,2546437,slot,,,live,,,2023-02-15T10:53:14.000Z,,,https://app.intercom.com/a/apps/q99ovhhj/outbound/slot/30036051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30036058,2023-02-15T10:53:14.000Z,dynamic,Untitled,2546444,slot,,,live,,,2023-02-15T10:53:14.000Z,,,https://app.intercom.com/a/apps/q99ovhhj/outbound/slot/30036058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30036073,2023-02-15T10:53:16.000Z,dynamic,Untitled,2546458,slot,,,live,,,2023-02-15T10:53:16.000Z,,,https://app.intercom.com/a/apps/q99ovhhj/outbound/slot/30036073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30036078,2023-02-15T10:53:16.000Z,dynamic,Untitled,2546463,slot,,,live,,,2023-02-15T10:53:16.000Z,,,https://app.intercom.com/a/apps/q99ovhhj/outbound/slot/30036078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30036083,2023-02-15T10:53:17.000Z,dynamic,Untitled,2546468,slot,,,live,,,2023-02-15T10:53:17.000Z,,,https://app.intercom.com/a/apps/q99ovhhj/outbound/slot/30036083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30228917,2023-02-21T19:05:59.000Z,dynamic,Untitled,232524,banner,,,paused,2023-02-23T21:57:39.000Z,jeff@akk.io,2023-02-23T21:58:08.000Z,jeff@akk.io,2023-02-23T20:55:16.000Z,https://app.intercom.com/a/apps/q99ovhhj/outbound/banner/30228917,2765,2731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31681655,2023-02-23T21:57:27.000Z,dynamic,OpenAI issues,233458,banner,,,paused,2023-02-24T01:01:07.000Z,jeff@akk.io,2023-02-24T01:02:40.000Z,jeff@akk.io,2023-02-23T21:58:00.000Z,https://app.intercom.com/a/apps/q99ovhhj/outbound/banner/31681655,204,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31998852,2023-03-14T13:55:45.000Z,dynamic,Issues with Chat Data Prep,239248,banner,,,paused,2023-03-14T16:02:29.000Z,matt@akk.io,2023-03-14T16:04:53.000Z,matt@akk.io,2023-03-14T13:57:22.000Z,https://app.intercom.com/a/apps/q99ovhhj/outbound/banner/31998852,69,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32325415,2023-03-31T13:57:38.000Z,dynamic,Untitled,7215784,article,,,live,2024-04-01T01:58:44.000Z,,2023-03-31T14:05:12.000Z,,,https://app.intercom.com/a/apps/q99ovhhj/outbound/article/32325415,347,346,6,6,1.73%,,,,,,,,,,,,16,16,4.61%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32325606,2023-03-31T14:06:26.000Z,dynamic,Untitled,871728,messenger_settings,,,live,,jeff@akk.io,2023-03-31T14:06:26.000Z,,,https://app.intercom.com/a/apps/q99ovhhj/outbound/messenger-settings/32325606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32325607,2023-03-31T14:06:26.000Z,dynamic,Untitled,871728,messenger_settings,,,live,,jeff@akk.io,2023-03-31T14:06:26.000Z,,,https://app.intercom.com/a/apps/q99ovhhj/outbound/messenger-settings/32325607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32325608,2023-03-31T14:06:26.000Z,dynamic,Untitled,871728,messenger_settings,,,ended,,jeff@akk.io,2023-03-31T14:06:26.000Z,,,https://app.intercom.com/a/apps/q99ovhhj/outbound/messenger-settings/32325608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32325609,2023-03-31T14:06:26.000Z,dynamic,Untitled,871728,messenger_settings,,,ended,,jeff@akk.io,2023-03-31T14:06:26.000Z,,,https://app.intercom.com/a/apps/q99ovhhj/outbound/messenger-settings/32325609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32325610,2023-03-31T14:06:27.000Z,dynamic,Untitled,4135632,slot,,,live,,,2023-03-31T14:06:27.000Z,,,https://app.intercom.com/a/apps/q99ovhhj/outbound/slot/32325610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32325681,2023-03-31T14:11:37.000Z,dynamic,Untitled,4135642,slot,,,live,,,2023-03-31T14:11:37.000Z,,,https://app.intercom.com/a/apps/q99ovhhj/outbound/slot/32325681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
